subject,domain,word,SIDNO
474,ANIMALS,Rooster,33
474,ANIMALS,Chicken,33
474,ANIMALS,Turkey,33
474,ANIMALS,Parrot,33
474,ANIMALS,Parrot,33
474,ANIMALS,Shark,33
474,ANIMALS,Deer,33
474,ANIMALS,Moose,33
475,ANIMALS,Monkey,34
475,ANIMALS,Dog,34
475,ANIMALS,Cat,34
475,ANIMALS,Bird,34
475,ANIMALS,Lion,34
475,ANIMALS,Giraffe,34
475,ANIMALS,Pig,34
475,ANIMALS,Cow,34
475,ANIMALS,Cat,34
475,ANIMALS,Seagull,34
475,ANIMALS,Fish,34
475,ANIMALS,Whale,34
475,ANIMALS,Shark,34
475,ANIMALS,Shark,34
475,ANIMALS,Rat,34
475,ANIMALS,Mouse,34
475,ANIMALS,Mouse,34
475,ANIMALS,Worm,34
475,ANIMALS,Snake,34
475,ANIMALS,Spider,34
475,ANIMALS,Octopus,34
475,ANIMALS,Seal,34
475,ANIMALS,Dolphin,34
475,ANIMALS,Hawk,34
475,ANIMALS,Dinosaur,34
475,ANIMALS,Duck,34
475,ANIMALS,Quail,34
475,ANIMALS,Gerbil,34
475,ANIMALS,Hamster,34
475,ANIMALS,Turtle,34
475,ANIMALS,Frog,34
475,ANIMALS,Alligator,34
475,ANIMALS,Crocodile,34
475,ANIMALS,Bear,34
475,ANIMALS,Fox,34
475,ANIMALS,Wolf,34
475,ANIMALS,Rabbit,34
475,ANIMALS,Zebra,34
475,ANIMALS,Horse,34
475,ANIMALS,Hyena,34
475,ANIMALS,Tiger,34
475,ANIMALS,Elephant,34
475,ANIMALS,Chicken,34
475,ANIMALS,Opossum,34
475,ANIMALS,Yak,34
475,ANIMALS,Tarantula,34
476,ANIMALS,Dog,35
476,ANIMALS,Cat,35
476,ANIMALS,Bird,35
476,ANIMALS,Fish,35
476,ANIMALS,Zebra Lion,35
476,ANIMALS,Giraffe,35
476,ANIMALS,Monkey,35
476,ANIMALS,Monkey,35
476,ANIMALS,Elephant,35
476,ANIMALS,Rat,35
476,ANIMALS,Mouse,35
476,ANIMALS,Guinea Pig,35
476,ANIMALS,Badger,35
476,ANIMALS,Possum,35
476,ANIMALS,Raccoon,35
476,ANIMALS,Deer,35
476,ANIMALS,Turkey,35
476,ANIMALS,Pig,35
476,ANIMALS,Horse,35
476,ANIMALS,Buffalo,35
476,ANIMALS,Water Buffalo,35
476,ANIMALS,Antelope,35
476,ANIMALS,Alligator,35
476,ANIMALS,Crocodile,35
476,ANIMALS,Panther,35
476,ANIMALS,Wolf,35
476,ANIMALS,Moose,35
476,ANIMALS,Caribou,35
476,ANIMALS,Reindeer,35
476,ANIMALS,Polar Bear,35
476,ANIMALS,Black Bear,35
476,ANIMALS,Muskrat,35
477,ANIMALS,Dogs,36
477,ANIMALS,Cats,36
477,ANIMALS,Rats,36
477,ANIMALS,Mice,36
477,ANIMALS,Tiger,36
477,ANIMALS,Bear,36
477,ANIMALS,Lion,36
477,ANIMALS,Cheetah,36
477,ANIMALS,Python,36
477,ANIMALS,Panther,36
477,ANIMALS,Zebra,36
477,ANIMALS,Giraffe,36
477,ANIMALS,Elephant,36
477,ANIMALS,Penguin,36
477,ANIMALS,Polar Bear,36
477,ANIMALS,Panda Bear,36
477,ANIMALS,Snake,36
477,ANIMALS,Garter Snake,36
477,ANIMALS,Snail,36
477,ANIMALS,Toad,36
477,ANIMALS,Frog,36
477,ANIMALS,Chameleon,36
477,ANIMALS,Lizard,36
477,ANIMALS,Slug,36
477,ANIMALS,Horse,36
477,ANIMALS,Camel,36
477,ANIMALS,Kangaroo,36
477,ANIMALS,Koala Bear,36
477,ANIMALS,Shark,36
477,ANIMALS,Whale,36
477,ANIMALS,Gold Fish,36
477,ANIMALS,Angel Fish,36
477,ANIMALS,Salamander,36
477,ANIMALS,Spiders,36
478,ANIMALS,Dog,37
478,ANIMALS,Cat,37
478,ANIMALS,Chicken,37
478,ANIMALS,Duck,37
478,ANIMALS,Elephant,37
478,ANIMALS,Mouse,37
478,ANIMALS,Hamster,37
478,ANIMALS,Sheep,37
478,ANIMALS,Moose,37
478,ANIMALS,Giraffe,37
478,ANIMALS,Monkey,37
478,ANIMALS,Fish,37
478,ANIMALS,Leopard,37
478,ANIMALS,Zebra,37
478,ANIMALS,Lizard,37
